# SignalP-5.0	Organism: euk	Timestamp: 20260406234044
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
P0DPI1	OTHER	0.000886	0.999114	
A5HY28	OTHER	0.007647	0.992353	
A5HZ59	OTHER	0.001014	0.998986	
A5I133	OTHER	0.000682	0.999318	
A5I1T6	OTHER	0.000236	0.999764	
A5I4N2	OTHER	0.000341	0.999659	
A5I4T4	OTHER	0.000206	0.999794	
A5I4U0	OTHER	0.017216	0.982784	
A5I4U9	OTHER	0.048835	0.951165	
A5I5V0	OTHER	0.000230	0.999770	
A5I6G4	OTHER	0.089316	0.910684	
A5I6N1	OTHER	0.001156	0.998844	
A5I6Y8	OTHER	0.000372	0.999628	
A5I766	OTHER	0.003608	0.996392	
A5I7C4	OTHER	0.001067	0.998933	
A5I7Q0	SP(Sec/SPI)	0.740374	0.259626	CS pos: 27-28. VRT-GT. Pr: 0.2536
A5I7R9	OTHER	0.002818	0.997182	
A5I7S0	OTHER	0.002459	0.997541	
A5HXP7	OTHER	0.000862	0.999138	
A5HXQ2	OTHER	0.000234	0.999766	
A5HXQ3	OTHER	0.001211	0.998789	
A5HXR1	OTHER	0.000151	0.999849	
A5HXS0	OTHER	0.000454	0.999546	
A5HXS4	OTHER	0.001304	0.998696	
A5HXS5	OTHER	0.001175	0.998825	
A5HXU4	OTHER	0.001564	0.998436	
A5HXW3	OTHER	0.001909	0.998091	
A5HXX2	OTHER	0.000558	0.999442	
A5HXX7	OTHER	0.001240	0.998760	
A5HXX8	OTHER	0.000316	0.999684	
A5HXZ6	OTHER	0.001019	0.998981	
A5HY16	OTHER	0.000904	0.999096	
A5HY17	OTHER	0.000510	0.999490	
A5HY30	OTHER	0.000745	0.999255	
A5HY32	OTHER	0.001244	0.998756	
A5HY34	OTHER	0.000771	0.999229	
A5HY38	OTHER	0.000761	0.999239	
A5HY41	OTHER	0.001138	0.998862	
A5HY47	OTHER	0.209507	0.790493	
A5HY50	OTHER	0.000537	0.999463	
A5HY52	OTHER	0.000463	0.999537	
A5HY55	OTHER	0.000669	0.999331	
